,Unnamed: 0,filename,number,y
0,0,data/valid/image2906_68xxx.png,2,"[6, 8, 10, 10, 10]"
1,1,data/valid/image3384_83xxx.png,2,"[8, 3, 10, 10, 10]"
2,2,data/valid/image3852_254xx.png,3,"[2, 5, 4, 10, 10]"
3,3,data/valid/image3172_36xxx.png,2,"[3, 6, 10, 10, 10]"
4,4,data/valid/image3071_265xx.png,3,"[2, 6, 5, 10, 10]"
5,5,data/valid/image616_93xxx.png,2,"[9, 3, 10, 10, 10]"
6,6,data/valid/image1345_108xx.png,3,"[1, 0, 8, 10, 10]"
7,7,data/valid/image261_895xx.png,3,"[8, 9, 5, 10, 10]"
8,8,data/valid/image1549_16xxx.png,2,"[1, 6, 10, 10, 10]"
9,9,data/valid/image2962_3xxxx.png,1,"[3, 10, 10, 10, 10]"
10,10,data/valid/image2806_63xxx.png,2,"[6, 3, 10, 10, 10]"
11,11,data/valid/image687_41xxx.png,2,"[4, 1, 10, 10, 10]"
12,12,data/valid/image3594_125xx.png,3,"[1, 2, 5, 10, 10]"
13,13,data/valid/image953_41xxx.png,2,"[4, 1, 10, 10, 10]"
14,14,data/valid/image624_36xxx.png,2,"[3, 6, 10, 10, 10]"
15,15,data/valid/image133_8xxxx.png,1,"[8, 10, 10, 10, 10]"
16,16,data/valid/image2834_174xx.png,3,"[1, 7, 4, 10, 10]"
17,17,data/valid/image2968_122xx.png,3,"[1, 2, 2, 10, 10]"
18,18,data/valid/image1778_86xxx.png,2,"[8, 6, 10, 10, 10]"
19,19,data/valid/image2403_28xxx.png,2,"[2, 8, 10, 10, 10]"
20,20,data/valid/image346_44xxx.png,2,"[4, 4, 10, 10, 10]"
21,21,data/valid/image1570_56xxx.png,2,"[5, 6, 10, 10, 10]"
22,22,data/valid/image580_44xxx.png,2,"[4, 4, 10, 10, 10]"
23,23,data/valid/image1561_25xxx.png,2,"[2, 5, 10, 10, 10]"
24,24,data/valid/image1120_684xx.png,3,"[6, 8, 4, 10, 10]"
25,25,data/valid/image2154_108xx.png,3,"[1, 0, 8, 10, 10]"
26,26,data/valid/image3055_124xx.png,3,"[1, 2, 4, 10, 10]"
27,27,data/valid/image339_171xx.png,3,"[1, 7, 1, 10, 10]"
28,28,data/valid/image1487_15xxx.png,2,"[1, 5, 10, 10, 10]"
29,29,data/valid/image2688_21xxx.png,2,"[2, 1, 10, 10, 10]"
30,30,data/valid/image3515_19xxx.png,2,"[1, 9, 10, 10, 10]"
31,31,data/valid/image57_52xxx.png,2,"[5, 2, 10, 10, 10]"
32,32,data/valid/image2431_8xxxx.png,1,"[8, 10, 10, 10, 10]"
33,33,data/valid/image2083_1xxxx.png,1,"[1, 10, 10, 10, 10]"
34,34,data/valid/image2665_86xxx.png,2,"[8, 6, 10, 10, 10]"
35,35,data/valid/image2398_240xx.png,3,"[2, 4, 0, 10, 10]"
36,36,data/valid/image2597_90xxx.png,2,"[9, 0, 10, 10, 10]"
37,37,data/valid/image1647_17xxx.png,2,"[1, 7, 10, 10, 10]"
38,38,data/valid/image2100_1550x.png,4,"[1, 5, 5, 0, 10]"
39,39,data/valid/image204_17xxx.png,2,"[1, 7, 10, 10, 10]"
40,40,data/valid/image2914_10xxx.png,2,"[1, 0, 10, 10, 10]"
41,41,data/valid/image755_2695x.png,4,"[2, 6, 9, 5, 10]"
42,42,data/valid/image1818_35xxx.png,2,"[3, 5, 10, 10, 10]"
43,43,data/valid/image3355_44xxx.png,2,"[4, 4, 10, 10, 10]"
44,44,data/valid/image788_2xxxx.png,1,"[2, 10, 10, 10, 10]"
45,45,data/valid/image156_3880x.png,4,"[3, 8, 8, 0, 10]"
46,46,data/valid/image3021_138xx.png,3,"[1, 3, 8, 10, 10]"
47,47,data/valid/image1064_97xxx.png,2,"[9, 7, 10, 10, 10]"
48,48,data/valid/image3323_161xx.png,3,"[1, 6, 1, 10, 10]"
49,49,data/valid/image1321_420xx.png,3,"[4, 2, 0, 10, 10]"
50,50,data/valid/image3184_79xxx.png,2,"[7, 9, 10, 10, 10]"
51,51,data/valid/image3208_11xxx.png,2,"[1, 1, 10, 10, 10]"
52,52,data/valid/image1555_54xxx.png,2,"[5, 4, 10, 10, 10]"
53,53,data/valid/image3275_9xxxx.png,1,"[9, 10, 10, 10, 10]"
54,54,data/valid/image396_68xxx.png,2,"[6, 8, 10, 10, 10]"
55,55,data/valid/image2273_170xx.png,3,"[1, 7, 0, 10, 10]"
56,56,data/valid/image1849_69xxx.png,2,"[6, 9, 10, 10, 10]"
57,57,data/valid/image3593_55xxx.png,2,"[5, 5, 10, 10, 10]"
58,58,data/valid/image3532_28xxx.png,2,"[2, 8, 10, 10, 10]"
59,59,data/valid/image1222_81xxx.png,2,"[8, 1, 10, 10, 10]"
60,60,data/valid/image3652_77xxx.png,2,"[7, 7, 10, 10, 10]"
61,61,data/valid/image1188_25xxx.png,2,"[2, 5, 10, 10, 10]"
62,62,data/valid/image444_62xxx.png,2,"[6, 2, 10, 10, 10]"
63,63,data/valid/image3925_53xxx.png,2,"[5, 3, 10, 10, 10]"
64,64,data/valid/image1538_83xxx.png,2,"[8, 3, 10, 10, 10]"
65,65,data/valid/image2755_6xxxx.png,1,"[6, 10, 10, 10, 10]"
66,66,data/valid/image2745_163xx.png,3,"[1, 6, 3, 10, 10]"
67,67,data/valid/image3029_105xx.png,3,"[1, 0, 5, 10, 10]"
68,68,data/valid/image2790_9xxxx.png,1,"[9, 10, 10, 10, 10]"
69,69,data/valid/image2095_21xxx.png,2,"[2, 1, 10, 10, 10]"
70,70,data/valid/image1327_52xxx.png,2,"[5, 2, 10, 10, 10]"
71,71,data/valid/image2639_108xx.png,3,"[1, 0, 8, 10, 10]"
72,72,data/valid/image671_62xxx.png,2,"[6, 2, 10, 10, 10]"
73,73,data/valid/image174_87xxx.png,2,"[8, 7, 10, 10, 10]"
74,74,data/valid/image2604_40xxx.png,2,"[4, 0, 10, 10, 10]"
75,75,data/valid/image1349_7xxxx.png,1,"[7, 10, 10, 10, 10]"
76,76,data/valid/image2300_15xxx.png,2,"[1, 5, 10, 10, 10]"
77,77,data/valid/image1661_130xx.png,3,"[1, 3, 0, 10, 10]"
78,78,data/valid/image2568_6xxxx.png,1,"[6, 10, 10, 10, 10]"
79,79,data/valid/image2172_22xxx.png,2,"[2, 2, 10, 10, 10]"
80,80,data/valid/image1007_139xx.png,3,"[1, 3, 9, 10, 10]"
81,81,data/valid/image1785_42xxx.png,2,"[4, 2, 10, 10, 10]"
82,82,data/valid/image2078_53xxx.png,2,"[5, 3, 10, 10, 10]"
83,83,data/valid/image425_2xxxx.png,1,"[2, 10, 10, 10, 10]"
84,84,data/valid/image1362_38xxx.png,2,"[3, 8, 10, 10, 10]"
85,85,data/valid/image942_30xxx.png,2,"[3, 0, 10, 10, 10]"
86,86,data/valid/image2430_17xxx.png,2,"[1, 7, 10, 10, 10]"
87,87,data/valid/image929_24xxx.png,2,"[2, 4, 10, 10, 10]"
88,88,data/valid/image543_137xx.png,3,"[1, 3, 7, 10, 10]"
89,89,data/valid/image1756_149xx.png,3,"[1, 4, 9, 10, 10]"
90,90,data/valid/image3501_203xx.png,3,"[2, 0, 3, 10, 10]"
91,91,data/valid/image3150_42xxx.png,2,"[4, 2, 10, 10, 10]"
92,92,data/valid/image110_77xxx.png,2,"[7, 7, 10, 10, 10]"
93,93,data/valid/image1058_79xxx.png,2,"[7, 9, 10, 10, 10]"
94,94,data/valid/image3377_50xxx.png,2,"[5, 0, 10, 10, 10]"
95,95,data/valid/image2272_286xx.png,3,"[2, 8, 6, 10, 10]"
96,96,data/valid/image2481_14xxx.png,2,"[1, 4, 10, 10, 10]"
97,97,data/valid/image318_19xxx.png,2,"[1, 9, 10, 10, 10]"
98,98,data/valid/image2706_1591x.png,4,"[1, 5, 9, 1, 10]"
99,99,data/valid/image2963_34xxx.png,2,"[3, 4, 10, 10, 10]"
100,100,data/valid/image3070_5xxxx.png,1,"[5, 10, 10, 10, 10]"
101,101,data/valid/image2870_121xx.png,3,"[1, 2, 1, 10, 10]"
102,102,data/valid/image34_351xx.png,3,"[3, 5, 1, 10, 10]"
103,103,data/valid/image1476_66xxx.png,2,"[6, 6, 10, 10, 10]"
104,104,data/valid/image615_195xx.png,3,"[1, 9, 5, 10, 10]"
105,105,data/valid/image3397_70xxx.png,2,"[7, 0, 10, 10, 10]"
106,106,data/valid/image2810_75xxx.png,2,"[7, 5, 10, 10, 10]"
107,107,data/valid/image2333_115xx.png,3,"[1, 1, 5, 10, 10]"
108,108,data/valid/image364_3300x.png,4,"[3, 3, 0, 0, 10]"
109,109,data/valid/image3794_23xxx.png,2,"[2, 3, 10, 10, 10]"
110,110,data/valid/image2269_86xxx.png,2,"[8, 6, 10, 10, 10]"
111,111,data/valid/image2192_31xxx.png,2,"[3, 1, 10, 10, 10]"
112,112,data/valid/image2008_21xxx.png,2,"[2, 1, 10, 10, 10]"
113,113,data/valid/image2043_6698x.png,4,"[6, 6, 9, 8, 10]"
114,114,data/valid/image1847_31xxx.png,2,"[3, 1, 10, 10, 10]"
115,115,data/valid/image668_2475x.png,4,"[2, 4, 7, 5, 10]"
116,116,data/valid/image2991_3xxxx.png,1,"[3, 10, 10, 10, 10]"
117,117,data/valid/image1347_31xxx.png,2,"[3, 1, 10, 10, 10]"
118,118,data/valid/image179_29xxx.png,2,"[2, 9, 10, 10, 10]"
