,filename,number,y
0,data/newdata/train/image507_7xxxx.png,1,"[7, 10, 10, 10, 10]"
1,data/newdata/train/image15837_39xxx.png,2,"[3, 9, 10, 10, 10]"
2,data/newdata/train/image25136_36xxx.png,2,"[3, 6, 10, 10, 10]"
3,data/newdata/train/image14857_571xx.png,3,"[5, 7, 1, 10, 10]"
4,data/newdata/train/image14001_46xxx.png,2,"[4, 6, 10, 10, 10]"
5,data/newdata/train/image17286_18xxx.png,2,"[1, 8, 10, 10, 10]"
6,data/newdata/train/image16650_2xxxx.png,1,"[2, 10, 10, 10, 10]"
7,data/newdata/train/image13071_36xxx.png,2,"[3, 6, 10, 10, 10]"
8,data/newdata/train/image18230_79xxx.png,2,"[7, 9, 10, 10, 10]"
9,data/newdata/train/image3443_240xx.png,3,"[2, 4, 0, 10, 10]"
10,data/newdata/train/image12462_7xxxx.png,1,"[7, 10, 10, 10, 10]"
11,data/newdata/train/image13076_31xxx.png,2,"[3, 1, 10, 10, 10]"
12,data/newdata/train/image21159_417xx.png,3,"[4, 1, 7, 10, 10]"
13,data/newdata/train/image14066_24xxx.png,2,"[2, 4, 10, 10, 10]"
14,data/newdata/train/image20416_23xxx.png,2,"[2, 3, 10, 10, 10]"
15,data/newdata/train/image29000_12xxx.png,2,"[1, 2, 10, 10, 10]"
16,data/newdata/train/image20469_195xx.png,3,"[1, 9, 5, 10, 10]"
17,data/newdata/train/image7368_273xx.png,3,"[2, 7, 3, 10, 10]"
18,data/newdata/train/image16895_40xxx.png,2,"[4, 0, 10, 10, 10]"
19,data/newdata/train/image15874_20xxx.png,2,"[2, 0, 10, 10, 10]"
20,data/newdata/train/image9822_49xxx.png,2,"[4, 9, 10, 10, 10]"
21,data/newdata/train/image9840_20xxx.png,2,"[2, 0, 10, 10, 10]"
22,data/newdata/train/image22935_27xxx.png,2,"[2, 7, 10, 10, 10]"
23,data/newdata/train/image17492_207xx.png,3,"[2, 0, 7, 10, 10]"
24,data/newdata/train/image5871_4xxxx.png,1,"[4, 10, 10, 10, 10]"
25,data/newdata/train/image4751_45xxx.png,2,"[4, 5, 10, 10, 10]"
26,data/newdata/train/image26103_10xxx.png,2,"[1, 0, 10, 10, 10]"
27,data/newdata/train/image3389_3xxxx.png,1,"[3, 10, 10, 10, 10]"
28,data/newdata/train/image3390_75xxx.png,2,"[7, 5, 10, 10, 10]"
29,data/newdata/train/image821_21xxx.png,2,"[2, 1, 10, 10, 10]"
30,data/newdata/train/image15887_74xxx.png,2,"[7, 4, 10, 10, 10]"
31,data/newdata/train/image21432_80xxx.png,2,"[8, 0, 10, 10, 10]"
32,data/newdata/train/image21793_40xxx.png,2,"[4, 0, 10, 10, 10]"
33,data/newdata/train/image14912_9xxxx.png,1,"[9, 10, 10, 10, 10]"
34,data/newdata/train/image1344_17xxx.png,2,"[1, 7, 10, 10, 10]"
35,data/newdata/train/image2281_207xx.png,3,"[2, 0, 7, 10, 10]"
36,data/newdata/train/image10249_36xxx.png,2,"[3, 6, 10, 10, 10]"
37,data/newdata/train/image1370_10xxx.png,2,"[1, 0, 10, 10, 10]"
38,data/newdata/train/image4846_172xx.png,3,"[1, 7, 2, 10, 10]"
39,data/newdata/train/image11918_160xx.png,3,"[1, 6, 0, 10, 10]"
40,data/newdata/train/image20484_59xxx.png,2,"[5, 9, 10, 10, 10]"
41,data/newdata/train/image23602_9xxxx.png,1,"[9, 10, 10, 10, 10]"
42,data/newdata/train/image21427_5xxxx.png,1,"[5, 10, 10, 10, 10]"
